list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-04-22,450000,2025-05-14,465000,4,2.0,1878,4966,Saint Paul,1426 Scheffer Ave,55116,44.92128,-93.160505
2025-03-28,374900,2025-05-13,385000,3,1.5,1800,9714,Saint Paul,42 Darlene St,55119,44.942275,-93.018525
2025-03-14,998500,2025-05-15,1052000,4,2.5,4201,12632,Saint Paul,832 Osceola Ave,55105,44.935321,-93.135161
2025-04-10,350000,2025-05-02,359000,3,1.5,1168,4574,Saint Paul,807 Delaware Ave,55107,44.921768,-93.106186
,,2025-03-31,210000,3,2.0,1362,9540,Saint Paul,1337 Ross Ave,55106,44.966115,-93.044351
2025-05-27,310000,2025-05-27,310000,1,2.5,1153,4922,Saint Paul,1285 Juno Ave,55116,44.926303,-93.154627
2025-02-25,524999,2025-03-14,586000,3,1.5,1658,5009,Saint Paul,2152 Berkeley Ave,55105,44.933157,-93.191356
2025-04-18,299900,2025-06-02,320000,3,1.0,1418,4748,Saint Paul,719 Fuller Ave,55104,44.954183,-93.130454
2025-04-26,310000,2025-05-30,330000,3,2.0,1959,6098,Saint Paul,2184 6th St E,55119,44.960092,-93.008739
2025-04-12,369900,2025-06-04,375000,3,1.0,1504,5184,Saint Paul,235 Vernon St,55105,44.934519,-93.171435
2025-04-09,199900,2025-05-22,209500,1,1.0,823,4966,Saint Paul,408 Erie St,55102,44.929059,-93.121644
2025-03-31,265000,2025-05-22,270000,2,1.0,919,5227,Saint Paul,985 Seminary Ave,55104,44.965051,-93.141891
,,2025-05-27,500000,4,1.5,1567,6251,Saint Paul,1853 Jefferson Ave,55105,44.930918,-93.178612
2024-10-02,199000,2024-12-19,206000,3,1.0,1215,8015,Saint Paul,1159 Seminary Ave,55104,44.965062,-93.148929
2025-04-04,199900,2025-05-19,210000,3,1.0,1166,5009,Saint Paul,1271 Marion St,55117,44.979539,-93.110102
2025-02-12,240000,2025-05-16,245500,3,2.0,1216,4966,Saint Paul,873 Ohio St,55107,44.919994,-93.097914
2025-04-21,225000,2025-05-29,228500,3,1.0,1651,6273,Saint Paul,1680 Westminster St,55130,44.991658,-93.085934
2025-04-08,525000,2025-05-15,525000,4,1.5,2574,5968,Saint Paul,1688 Laurel Ave,55104,44.944729,-93.171684
2025-04-28,725000,2025-05-30,800000,4,1.5,2400,7362,Saint Paul,1281 Como Blvd W,55103,44.979093,-93.143988
2025-04-22,210000,2025-05-23,215000,3,2.0,420,4966,Saint Paul,768 Magnolia Ave E,55106,44.973629,-93.068103
2025-03-06,150000,2025-03-26,175000,3,1.0,1092,4879,Saint Paul,109 Geranium Ave W,55117,44.975841,-93.104698
2025-04-24,350000,2025-06-02,400000,3,2.0,1848,5271,Saint Paul,1511 Osceola Ave,55105,44.936357,-93.163962
2025-04-01,343000,2025-05-30,348000,4,1.5,1408,4792,Saint Paul,709 Stewart Ave,55102,44.922505,-93.129663
2025-03-04,1050000,2025-05-30,1050000,5,3.0,3400,6752,Saint Paul,2238 Riverwood Pl,55104,44.944456,-93.194709
2025-04-12,539900,2025-05-29,570006,5,2.0,2200,5053,Saint Paul,436 Saratoga St S,55105,44.928351,-93.164117
2025-04-07,359900,2025-05-30,377000,2,2.0,1814,7492,Saint Paul,594 Clifford St,55104,44.958493,-93.203586
2025-03-13,265000,2025-05-30,256000,3,1.5,1212,9801,Saint Paul,1797 Hyacinth Ave E,55119,44.980473,-93.024451
2024-10-04,199900,2024-12-30,200000,3,1.5,1500,6708,Saint Paul,764 Edmund Ave,55104,44.958175,-93.13248
2025-03-10,599900,2025-04-14,570000,7,3.0,4195,16553,Saint Paul,2376 Bayless Pl,55114,44.968265,-93.201
2025-04-18,314900,2025-05-21,331000,3,2.5,2064,4617,Saint Paul,577 Michigan St,55102,44.93528,-93.123992
2025-04-15,650000,2025-05-30,715000,3,2.5,2245,6403,Saint Paul,2188 Wellesley Ave,55105,44.931343,-93.192922
2024-11-08,265000,2025-01-03,270000,3,1.5,1277,4530,Saint Paul,453 Maryland Ave E,55130,44.977626,-93.081493
2025-05-01,299900,2025-06-02,331000,3,1.5,1591,16771,Saint Paul,445 Totem Rd,55119,44.928926,-93.01714
2024-09-18,190000,2024-12-11,183000,2,1.0,708,5009,Saint Paul,1992 Clear Ave E,55119,44.981769,-93.016256
2025-04-18,405900,2025-05-27,426000,4,2.0,2200,6273,Saint Paul,84 Hatch Ave W,55117,44.970886,-93.103553
2025-03-11,550000,2025-04-15,600000,4,2.5,2150,7579,Saint Paul,1684 Watson Ave,55116,44.924027,-93.171344
2025-02-28,324900,2025-05-29,324900,2,2.0,1399,5837,Saint Paul,1952 Field Ave,55116,44.902205,-93.182741
2025-04-03,590000,2025-05-15,605000,4,2.5,2397,7492,Saint Paul,1914 Selby Ave,55104,44.945891,-93.18135
2025-02-13,599900,2025-03-17,616500,4,2.5,2504,5968,Saint Paul,1168 Laurel Ave,55104,44.944722,-93.149593
2024-11-19,269500,2025-01-23,255500,3,2.0,1772,6708,Saint Paul,1138 Flandrau St,55106,44.975642,-93.027463
2025-04-02,599000,2025-05-22,599000,4,1.5,2136,9583,Saint Paul,1833 Goodrich Ave,55105,44.938147,-93.177828
2025-01-22,389900,2025-02-21,375000,2,1.5,1048,7449,Saint Paul,1802 Lincoln Ave,55105,44.938815,-93.176476
2025-05-02,1300000,2025-05-30,1300000,5,3.5,5506,7144,Saint Paul,463 Ashland Ave,55102,44.944695,-93.11967
2025-05-08,475000,2025-06-03,515968,3,3.0,2100,39727,Saint Paul,968 Larpenteur Ave W,55113,44.991446,-93.141457
