sale_date,sale_price,latitude,longitude,city,zoning,subdivision,present_use,land_val,imp_val,year_built,sqft_lot,sqft,stories,beds,bath_full,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm
2021-08-02,4298000,47.595284646217,-122.200888978942,BELLEVUE,R-4,ELLENES ADD,2,170000,77000,1951,9590,1420,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02,4188000,47.6363008194705,-122.198440414411,BELLEVUE,R-4,APPLE VALLEY HOMES NO. 03,2,135000,66000,1954,9840,1170,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,1050000,47.4784439919888,-122.201433645264,RENTON,R-8,RENTON CO-OP COAL COS AC TRACTS NO. 01,2,57000,41000,1932,5625,780,1.0,2,1,0,0,0,3,0,0,0,2,2,0,1,0
2021-09-21,4000000,47.5828848503946,-122.193997795881,BELLEVUE,R-4,FAILORS ENATAI GARDENS ADD,2,180000,145000,1957,12150,2110,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,4200000,47.6076095492433,-122.193253786992,BELLEVUE,R-4,SURREY DOWNS NO. 02,2,130000,74000,1959,8550,1320,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-21,2920000,47.5986187508352,-122.200550005183,BELLEVUE,R-4,EASTVIEW ADD,2,155000,24000,1949,9620,800,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-04,3650000,47.6329668689672,-122.201243998688,BELLEVUE,R-4,APPLE VALLEY HOMES ADD,2,125000,36000,1952,8120,880,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-07,3600000,47.5863671930144,-122.193049845049,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 02,2,180000,105000,1955,9800,1560,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-06,5530000,47.5541704627003,-122.194279577349,BELLEVUE,R-4,PLEASURE POINT PARK NO. 02,2,502000,75000,1928,9119,1810,1.5,3,1,6,0,0,0,0,0,0,2,0,0,4,0
2021-10-22,935000,47.5247271275204,-122.175494268087,NEWCASTLE,R-1,HILLMANS LAKE WASH GARDEN OF EDEN NO. 08,2,83000,144000,1975,77536,1220,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,4498000,47.6307571032113,-122.203610284674,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 01,2,150000,82000,1953,9230,1520,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,3450000,47.451550194703,-122.380397865375,BURIEN,R-4,,2,305000,175000,1920,12475,1760,2.0,3,1,3,0,0,0,0,3,0,4,0,4,0,0
2021-11-24,3250000,47.6344303941401,-122.20802855763,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,144000,29000,1953,8100,1000,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-08,2925000,47.6088072683312,-122.191595660613,BELLEVUE,R-4,SURREY DOWNS ADD NO. 01,2,120000,99000,1953,8175,2050,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,3950000,47.5836877920026,-122.195882945928,BELLEVUE,R-4,FAILORS ENATAI GARDENS NO. 02,2,155000,116000,1952,9450,2080,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,930000,47.5118303324062,-122.185148167148,RENTON,R-8,,2,55000,53800,1953,22050,1040,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,1450000,47.5271278568162,-122.199403062767,RENTON,R-8,HILLMANS LAKE WASH GARDEN OF EDEN NO. 02,2,68000,133000,1977,12600,1750,1.0,3,2,0,0,0,1,0,0,0,0,0,0,0,0
2022-02-05,5540000,47.5863345490442,-122.194118489337,BELLEVUE,R-4,,2,180000,94000,1930,14500,1600,2.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,3125000,47.631696620791,-122.205281944607,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 01,2,85000,51800,1967,8442,1120,1.0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2022-02-08,3750000,47.5974040497538,-122.201235533589,BELLEVUE,R-4,,2,120000,99800,1950,20558,2780,1.0,4,1,0,0,0,2,0,0,0,0,0,0,0,0
2022-03-03,4800000,47.597699897021,-122.200411342074,BELLEVUE,R-4,HAWKINSONS R A ADD,2,160000,67000,1947,12150,1310,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15,4700000,47.628494439438,-122.204800719437,BELLEVUE,R-4,WOODMERE ADD,2,150000,70000,1952,9180,1360,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,5000000,47.6561907453933,-122.159944965433,BELLEVUE,R-1,CANTERSHIRE,2,202000,150000,1969,35198,2190,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-06,4000000,47.6036332494796,-122.168026976248,BELLEVUE,R-4,HERITAGE LANE NO. 01,2,104000,140000,1965,7350,2230,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,980000,47.485883398202,-122.328963458672,BURIEN,R-6,CEDARHURST DIV NO. 01,2,35000,97000,1973,6610,1550,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-06,5465000,47.6335833984848,-122.192456891971,BELLEVUE,R-1,BELLEWOOD FARM NO. 02,2,210000,164000,1953,27208,2550,1.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-27,4668000,47.6357455109463,-122.200595913098,BELLEVUE,R-4,,2,135000,71000,1957,8509,1340,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,4610000,47.5863676178667,-122.192491569819,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 02,2,180000,77000,1954,9800,1810,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,4600000,47.6353950199829,-122.1990658342,BELLEVUE,R-4,APPLE VALLEY HOMES ADD,2,150000,90000,1953,8400,1300,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
