list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-03-04,1050000,2025-05-30,1050000,5,3,3400,6752,Saint Paul,2238 Riverwood Pl,55104,44.944456,-93.194709
2025-04-16,219900,2025-05-30,224000,3,1,1152,8538,Saint Paul,1453 7th St E,55106,44.967,-93.039031
2025-04-12,539900,2025-05-29,570006,5,2,2200,5053,Saint Paul,436 Saratoga St S,55105,44.928351,-93.164117
2025-04-07,359900,2025-05-30,377000,2,2,1814,7492,Saint Paul,594 Clifford St,55104,44.958493,-93.203586
2025-03-13,265000,2025-05-30,256000,3,1.5,1212,9801,Saint Paul,1797 Hyacinth Ave E,55119,44.980473,-93.024451
2024-10-04,199900,2024-12-30,200000,3,1.5,1500,6708,Saint Paul,764 Edmund Ave,55104,44.958175,-93.13248
2025-04-24,350000,2025-06-02,400000,3,2,1848,5271,Saint Paul,1511 Osceola Ave,55105,44.936357,-93.163962
2024-08-01,230000,2025-02-03,230000,3,2,1754,5358,Saint Paul,287 Cecelia Pl,55105,44.932801,-93.155942
2025-03-17,489900,2025-05-12,472500,3,1.5,1796,5793,Saint Paul,537 Cretin Ave S,55116,44.92536,-93.19282
2025-04-18,314900,2025-05-21,331000,3,2.5,2064,4617,Saint Paul,577 Michigan St,55102,44.93528,-93.123992
,,2025-04-10,298000,2,2,1140,7505,Saint Paul,525 Wheelock Pkwy E,55130,44.987525,-93.078668
